Country,countrycode,ECI 2018,ECI 2017,ECI 2016,ECI 2015,ECI 2014,ECI 2013,ECI 2012,ECI 2011,ECI 2010,ECI 2009,ECI 2008,ECI 2007,ECI 2006,ECI 2005,ECI 2004,ECI 2003,ECI 2002,ECI 2001,ECI 2000,ECI 1999,ECI 1998,ECI 1997,ECI 1996,ECI 1995,COI 2018,COI 2017,COI 2016,COI 2015,COI 2014,COI 2013,COI 2012,COI 2011,COI 2010,COI 2009,COI 2008,COI 2007,COI 2006,COI 2005,COI 2004,COI 2003,COI 2002,COI 2001,COI 2000
Slovenia,SVN,1.6167,1.623,1.6995,1.5706,1.5526,1.5553,1.4881,1.5271,1.4838,1.5024,1.4882,1.4787,1.565,1.5999,1.6915,1.5982,1.4863,1.5005,1.5048,1.4823,1.433,1.437,1.3567,1.4739,0.7256,0.7361,0.6275,0.6464,0.6354,0.5753,0.5901,0.6144,0.706,0.638,0.5141,0.5774,0.6167,0.7885,0.8119,0.9625,1.1209,1.0841,1.1287
Sweden,SWE,1.6976,1.7132,1.7404,1.7376,1.7408,1.7833,1.7138,1.7738,1.8129,1.88,1.8129,1.825,1.9253,2.0046,2.1299,2.1655,2.1346,2.0384,2.1121,2.1159,2.0342,2.0577,2.1894,2.2965,0.6159,0.7133,0.6476,0.5924,0.3785,0.1921,0.1725,0.312,0.4038,-0.0376,0.2928,0.3154,0.4739,0.6143,0.6756,0.7812,0.7747,0.8153,0.8367
Eswatini,SWZ,-0.0785,-0.0558,-0.0153,0.1311,0.3788,0.0189,0.2154,0.187,0.2377,0.8414,0.7487,0.959,0.7617,0.6264,0.4891,0.2991,0.4242,0.3193,0.2948,,,,,,-0.4415,-0.4887,-0.4655,-0.2844,-0.0659,-0.2051,-0.115,0.0416,-0.0743,0.1198,0.4393,0.1148,0.2539,-0.0156,-0.2796,-0.2892,-0.0482,-0.2147,-0.2726
Togo,TGO,-0.7837,-0.8844,-0.6959,-0.6218,-0.5896,-0.537,-0.4933,-0.6562,-0.7503,-0.4771,-0.5322,-0.6372,-0.8106,-0.7158,-0.5747,-0.4973,-0.6795,-0.4637,-0.8067,-0.7195,-0.7368,-0.8778,-0.8779,-0.6455,-0.7182,-0.7313,-0.5645,-0.7623,-0.4334,-0.4334,-0.3862,-0.7566,-0.7821,-0.5759,-0.806,-0.7829,-0.5653,-0.4213,-0.5303,-0.5033,-0.5264,-0.3584,-0.7391
Thailand,THA,1.1691,1.1519,1.2375,1.2449,1.1084,1.0726,1.0258,1.0952,0.9756,0.8884,0.8547,0.8744,0.7467,0.6818,0.6323,0.5851,0.4994,0.5235,0.5377,0.4308,0.263,0.2466,0.2638,0.2534,1.2696,1.2934,1.1989,1.109,1.3531,1.2727,1.2072,1.3349,1.2965,1.1697,1.3722,1.3049,1.4287,1.5033,1.4731,1.5821,1.5547,1.5021,1.3709
Tajikistan,TJK,-1.0877,-0.9377,-0.9915,-1.1419,-0.9049,-1.118,-1.3446,-0.9806,-1.1991,-1.215,-0.9667,-1.0156,-0.9644,-0.6959,-0.8032,-0.8321,-0.858,-0.6971,-0.7777,-0.4715,-0.3529,-0.1055,0.0328,-0.488,-1.2188,-1.1424,-1.1595,-1.188,-1.0582,-1.1624,-1.2527,-1.093,-1.1435,-1.2835,-1.1507,-1.2003,-1.1684,-1.0296,-1.0639,-1.1213,-1.1124,-1.0761,-1.0795
Turkmenistan,TKM,-0.8439,-1.2789,-0.979,-1.0987,-0.9586,-1.1681,-1.3874,-1.1631,-0.9031,-1.0927,-0.8833,-1.0792,-1.0239,-0.9536,-0.9137,-1.2574,-0.935,-0.8632,-0.8653,-0.5567,-0.2005,-0.5703,-0.6152,-0.9871,-1.149,-1.2737,-1.2114,-1.2479,-1.1421,-1.1502,-1.2196,-1.2081,-1.1217,-1.1902,-1.162,-1.2335,-1.1923,-1.2144,-1.2061,-1.3037,-1.2031,-1.2138,-1.1726
Trinidad and Tobago,TTO,0.0527,-0.1514,-0.1784,-0.2096,-0.5807,-0.3925,-0.2398,-0.3724,-0.2018,-0.3578,-0.3998,-0.3585,-0.35,-0.138,-0.0614,-0.208,-0.0622,0.2989,-0.0361,0.0025,0.1782,0.0496,0.0016,0.0792,-0.9225,-1.0288,-0.9973,-0.9786,-1.0538,-1.0505,-0.9812,-0.9828,-1.0464,-0.9758,-1.0296,-0.9997,-1.0351,-1.0128,-0.8917,-0.9686,-0.8043,-0.6149,-0.8348
Tunisia,TUN,0.3351,0.331,0.2997,0.3077,0.4597,0.4037,0.5127,0.4493,0.2831,0.2034,0.1869,0.2266,0.1436,-0.0078,-0.1253,-0.1763,0.0529,0.0409,-0.0415,-0.1381,-0.114,-0.1488,-0.2515,-0.1599,0.7352,1.0885,0.9522,0.976,0.958,0.9028,0.8141,0.9487,0.8044,0.771,0.7131,0.8168,0.5188,0.4896,0.3663,0.3543,0.3671,0.2872,0.1534
Turkey,TUR,0.6397,0.6366,0.5041,0.5497,0.6632,0.5788,0.6595,0.6101,0.5379,0.4769,0.5099,0.5021,0.4161,0.2751,0.2427,0.1424,0.1275,0.1609,0.1178,0.1139,0.0795,0.1544,0.0792,0.0857,2.2273,2.0402,2.2834,2.1748,2.0892,2.4053,1.9656,2.1943,2.1678,2.2124,1.8389,1.8276,2.1258,2.0971,1.9337,2.0496,1.8394,2.0173,2.0036
Tanzania,TZA,-0.0931,-0.9249,-0.993,-0.8657,-0.9083,-0.6549,-0.4861,-0.5657,-0.7003,-0.6745,-0.6211,-0.6479,-0.7967,-0.9219,-0.9605,-1.0964,-1.2356,-1.2415,-1.1416,-0.9434,-0.8644,-1.2455,-1.1862,-1.1534,1.372,0.2029,0.1998,0.095,0.512,0.9105,1.1466,0.6588,0.8117,0.8814,1.0731,1.1396,0.6329,0.3278,0.3468,-0.1279,-0.4207,-0.4824,-0.3794
Uganda,UGA,-0.4954,-0.607,-0.539,-0.5197,-0.4832,-0.4547,-0.4908,-0.5882,-0.5346,-0.575,-0.5617,-0.6793,-0.785,-0.8868,-1.0293,-0.9736,-1.2852,-1.1762,-1.2506,-1.4447,-1.0708,-1.1784,-1.1037,-1.2231,0.3685,0.2689,0.5328,0.4475,0.4846,0.6303,0.4482,0.2091,0.4154,0.1713,0.2367,0.067,-0.1647,-0.5093,-0.5185,-0.667,-0.8857,-0.7375,-0.9135
Ukraine,UKR,0.3677,0.3614,0.25,0.3035,0.505,0.5177,0.5324,0.4754,0.4698,0.4877,0.4892,0.6037,0.5989,0.5887,0.6672,0.7431,0.5707,0.6138,0.6082,0.4234,0.696,0.7275,0.747,0.245,1.0684,1.0733,0.8582,1.0444,1.0758,1.0446,1.1612,1.0737,1.1591,1.1441,1.1572,1.3257,1.2342,1.0375,1.1615,1.2169,1.1275,1.2847,1.2249
Uruguay,URY,0.0247,0.09,0.0419,0.1433,0.1537,0.135,0.0175,0.1099,0.0564,0.1194,0.1698,0.14,0.047,0.141,-0.0518,0.0606,0.0429,0.1859,0.2003,0.1582,0.1281,0.0849,0.1828,0.3371,-0.2344,-0.215,-0.2692,-0.1222,-0.0909,0.0206,0.0474,0.2059,0.1155,0.0325,0.3073,0.3942,0.2345,0.4013,0.1463,0.2884,0.1197,0.412,0.5865
United States of America,USA,1.5483,1.5547,1.6759,1.692,1.5712,1.609,1.5076,1.5692,1.5647,1.4631,1.4908,1.5047,1.6159,1.7486,1.8136,1.8359,1.8591,1.9658,2.0066,1.8929,1.9319,1.861,1.7464,1.7995,0.2084,0.2548,-0.1879,-0.4711,-0.3,-0.8184,-0.6266,-0.6659,-0.6532,-0.2569,-0.3503,-0.0618,-0.4254,-0.4199,-0.2817,0.114,0.1229,-0.1045,0.0259
Uzbekistan,UZB,-0.4112,-0.3458,-0.6137,-0.6863,-0.4206,-0.7066,-0.4227,-0.5856,-0.5059,-0.5634,-0.5026,-0.3213,-0.5119,-0.3879,-0.5203,-0.4431,-0.5878,-0.3855,-0.495,-0.3194,-0.2984,-0.1409,-0.1422,-0.5492,-0.3349,-0.3192,-0.5792,-0.7498,-0.4423,-0.6456,-0.5398,-0.62,-0.5957,-0.6535,-0.8258,-0.7417,-0.7696,-0.6948,-0.7579,-0.6488,-0.7585,-0.749,-0.6457
Venezuela,VEN,-1.1399,-1.1426,-1.2861,-1.3624,-1.1732,-1.2635,-1.6836,-1.6494,-1.3145,-0.8493,-1.1709,-0.7989,-0.5624,-0.2908,-0.4101,-0.0145,-0.0226,-0.0122,-0.1321,-0.0017,0.048,-0.1243,-0.0414,-0.0435,-1.2047,-1.2389,-1.2503,-1.2342,-1.1347,-1.0968,-1.1692,-1.1824,-1.1979,-1.1313,-1.1024,-1.0653,-0.9989,-1.0839,-0.9526,-0.8234,-0.7522,-0.8608,-0.8812
Vietnam,VNM,0.145,0.0279,0.0726,-0.005,0.1354,-0.0082,0.0785,0.0605,-0.0959,-0.106,-0.0424,-0.0998,-0.085,-0.4967,-0.4747,-0.6172,-0.4485,-0.5246,-0.5712,-0.704,-0.7834,-0.6687,-0.8128,-0.915,0.9752,0.7499,0.7232,0.8257,1.1814,1.1581,1.0079,1.2309,1.26,0.8002,1.0398,1.0214,0.9888,0.5936,0.7472,0.6127,0.5458,0.5004,0.5121
Yemen,YEM,-1.3106,-1.1358,-0.9627,-0.7925,-1.1779,-1.2764,-1.1717,-1.019,-1.2863,-1.1532,-1.1182,-1.4357,-1.065,-1.1619,-1.2701,-1.551,-1.4515,-1.6404,-1.6645,-1.7573,-1.6295,-1.6599,-1.383,-1.4133,-1.1757,-1.1634,-1.1585,-0.968,-1.2528,-1.2329,-1.2266,-1.1028,-1.2225,-1.1885,-1.1986,-1.2813,-1.1663,-1.2236,-1.2342,-1.3287,-1.2888,-1.3506,-1.2931
South Africa,ZAF,-0.0233,-0.0339,-0.0113,0.0871,0.1544,0.0967,0.0495,-0.0428,0.1321,0.1285,0.1335,0.1029,0.1793,0.2581,0.3014,0.3405,0.2966,0.236,0.2724,0.2159,0.3452,0.3109,0.2834,0.3145,1.3682,1.241,1.4055,1.8328,1.8753,1.5419,1.726,1.6491,1.5984,1.8198,1.3442,1.2875,1.6914,1.7485,1.9005,2.2583,2.4658,2.1272,2.2487
Zambia,ZMB,-0.6181,-1.2262,-0.7243,-0.499,-0.5072,-0.3147,-0.3551,-0.7473,-0.7758,-0.8921,-0.8405,-0.5291,-0.8799,-0.8735,-0.8669,-0.9537,-0.8375,-0.9295,-0.6425,-0.4504,-0.5955,-0.8579,-0.5833,-0.6024,-0.7607,-1.2566,-0.9204,-0.7043,-0.679,-0.4522,-0.7104,-0.9287,-0.8951,-0.8871,-1.0675,-0.8775,-0.9917,-0.9512,-0.7826,-0.7685,-0.62,-0.7459,-0.5685
Zimbabwe,ZWE,-0.9291,-0.9524,-0.9568,-0.8368,-0.7339,-0.8354,-0.8114,-0.7172,-0.7812,-0.6033,-0.4003,-0.3968,-0.3683,-0.4589,-0.4645,-0.2732,-0.3673,-0.6983,-0.4495,-0.3851,-0.5137,-0.5264,-0.4666,-0.122,-0.8285,-1.0391,-1.0069,-0.98,-0.8727,-0.8997,-0.7478,-0.7997,-0.6931,-0.5116,-0.4541,-0.2715,-0.2913,-0.0289,0.0275,-0.0284,0.4499,-0.2804,0.5153
